province,year,temp_AM,humid_AM,rain_AM,temp_PM,humid_PM,rain_PM,Amount_of_product_per_area
ตาก,2015.0,30.533147610833336,58.27599446833333,0.22934130900000002,27.231870555833336,74.50593696333333,0.5329161688333334,409.21100711133596
ตาก,2016.0,30.411744755,58.606970155,0.17740574225000003,26.765967683333333,74.65624958083333,0.5355666146666667,413.65372374283896
ตาก,2017.0,29.848952111666666,60.56592357333333,0.08326950708333333,26.671877720833333,75.73325732416667,0.37219451366666667,420.0745232597452
ตาก,2018.0,29.7718934275,61.29498117416667,0.060032171083333336,25.593781620833337,77.96668045333334,0.062072408249999995,423.3066518771012
ตาก,2019.0,29.595278839166667,63.51129859916667,0.07689679683333332,24.786594202499998,78.34531444166667,0.09094369608333334,412.3202027375134
ตาก,2020.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,398.7640049795483
ตาก,2021.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,403.0117180363807
นครสวรรค์,2010.0,28.065,87.835,8.3,28.065,87.835,8.3,453.99987541519897
นครสวรรค์,2011.0,28.065,87.835,8.3,28.065,87.835,8.3,351.69389009944575
นครสวรรค์,2012.0,28.065,87.83500000000001,8.299999999999999,28.065,87.83500000000001,8.299999999999999,558.1513728828634
นครสวรรค์,2013.0,28.065,87.835,8.3,28.065,87.835,8.3,580.3362503001796
นครสวรรค์,2014.0,28.065,87.835,8.3,28.065,87.835,8.3,575.7056245648718
นครสวรรค์,2015.0,32.684906336666664,57.27237396666666,0.7706387330000001,28.901617,65.91996613333333,0.43360824941666665,555.8667274927551
นครสวรรค์,2016.0,32.888098104166666,55.1565004775,0.78641812375,29.000517903333332,66.36837775083333,0.3306136223333333,492.18979412961266
นครสวรรค์,2017.0,32.470186006666665,54.727400582499996,0.4965594505,28.652844529166668,67.83908463166667,0.2684586005,523.8878532488463
นครสวรรค์,2018.0,32.31451377916667,57.28426442833333,0.04802681858333333,28.583325896666665,69.43169409166667,0.08077908308333333,593.9338809019506
นครสวรรค์,2019.0,32.377065260833334,61.663519790833334,0.046317063416666665,27.812571395833334,75.51495031833333,0.0925228125,535.9895469442447
นครสวรรค์,2020.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,531.7057914916986
นครสวรรค์,2021.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,487.62217414011786
